index,id,title,type,description,release_year,age_certification,runtime,imdb_id,imdb_score,imdb_votes,title_norm,join_year,director,cast,country,date_added,rating,duration,listed_in
4674,ts302312,Jaguar,SHOW,"In 1960s Spain, a Holocaust survivor joins a group of agents seeking justice against the hundreds of Nazis who fled to the nation to hide after WWII.",2021,TV-MA,43,tt11698590,5.7,1718.0,jaguar,2021.0,,"Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski",,"September 22, 2021",TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure"
4676,ts287328,Yasuke,SHOW,"In a war-torn feudal Japan filled with mechs and magic, the greatest ronin never known, Yasuke, struggles to maintain a peaceful existence after a past life of violence. But when a local village becomes the center of social upheaval between warring daimyo, Yasuke must take up his sword and transport a mysterious child who is the target of dark forces and bloodthirsty warlords.",2021,TV-MA,29,tt9310330,6.2,4999.0,yasuke,2021.0,,"LaKeith Stanfield, Takehiro Hira, Maya Tanida, Ian Chen, Gwendoline Yeo, Ming-Na Wen, Noshir Dalal, Paul Nakauchi, Darren Criss, Dia Frampton, William Christopher Stephens, Julie Marcus, Greg Chun, Dan Donohue, Johnny Yong Bosch, Michael Sinterniklaas, Amy Hill, Emily Woo Zeller, Keone Young",,"April 29, 2021",TV-MA,1 Season,"Anime Series, International TV Shows"
4679,tm1038363,America: The Motion Picture,MOVIE,A chainsaw-wielding George Washington teams with beer-loving bro Sam Adams to take down the Brits in a tongue-in-cheek riff on the American Revolution.,2021,R,98,tt6733874,5.6,6165.0,america: the motion picture,2021.0,Matt Thompson,"Channing Tatum, Jason Mantzoukas, Olivia Munn, Andy Samberg, Bobby Moynihan, Judy Greer, Will Forte, Raoul Trujillo, Killer Mike, Simon Pegg",United States,"June 30, 2021",TV-MA,98 min,"Action & Adventure, Comedies"
4681,tm1039147,Audible,MOVIE,Football player Amaree McKenstry-Hall and his Maryland School for the Deaf teammates attempt to defend their winning streak while coming to terms with the tragic loss of a close friend.,2021,PG-13,39,tt12771540,5.3,,audible,2021.0,Matt Ogens,,,"July 1, 2021",PG-13,39 min,"Documentaries, Sports Movies"
4683,tm1082974,Count Me In,MOVIE,"An exhilarating celebration of the art of rock drumming, featuring some of the best drummers ever to have graced the drumkit. The viewer is taken on a uplifting journey through some of the most iconic music ever created, focusing on the women and men with the sticks, their passions, culture and awe-inspiring energy.",2021,,81,tt6889042,6.8,1654.0,count me in,2021.0,Mark Lo,,United Kingdom,"August 24, 2021",TV-MA,82 min,"Documentaries, Music & Musicals"
4685,ts260477,Post Mortem: No One Dies in Skarnes,SHOW,"Live Hallangen is declared dead but hours later she suddenly wakes up with a sudden urge for blood. Meanwhile, her brother Odd tries to keep the family driven funeral home afloat.",2021,TV-MA,45,tt13053222,7.1,3229.0,post mortem: no one dies in skarnes,2021.0,,"Kathrine Thorborg Johansen, Elias Holmen Sørensen, André Sørum, Kim Fairchild, Sara Khorami, Terje Strømdahl, Øystein Røger, Marianne Jonger, Martin Karelius",,"August 25, 2021",TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas"
4686,ts265991,The Cook of Castamar,SHOW,"Set in early 18th-century Madrid, the plot follows the love story between an agoraphobic cook and a widowed nobleman.",2021,TV-MA,54,tt12626014,7.4,3637.0,the cook of castamar,2021.0,,"Michelle Jenner, Roberto Enríquez, Hugo Silva, Maxi Iglesias, María Hervás, Agnès Llobet, Paula Usero, Jean Cruz, Óscar Rabadán, Fiorella Faltoyano, Nancho Novo, Silvia Abascal, Mónica López",,"July 9, 2021",TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
4692,ts300456,My Unorthodox Life,SHOW,The personal and professional life of fashion mogul Julia Haart - former member of an ultra-Orthodox Jewish community turned CEO of Elite World Group.,2021,TV-MA,40,tt14398500,5.5,1170.0,my unorthodox life,2021.0,,,,"July 14, 2021",TV-MA,1 Season,Reality TV
4693,ts307925,On the Verge,SHOW,"Four women, a chef, a single mom, an heiress, and a job seeker dig into love and work, with a generous side of midlife crises, in pre-pandemic LA.",2021,TV-MA,32,tt5540990,6.5,2841.0,on the verge,2021.0,,"Julie Delpy, Elisabeth Shue, Sarah Jones, Alexia Landeau, Mathieu Demy, Troy Garity, Timm Sharp, Giovanni Ribisi","France, United States","September 7, 2021",TV-MA,1 Season,"TV Comedies, TV Dramas"
4694,tm898614,Sweet Girl,MOVIE,A devastated husband vows to bring justice to the people responsible for his wife's death while protecting the only family he has left: his daughter.,2021,R,110,tt10731768,5.5,30580.0,sweet girl,2021.0,Brian Andrew Mendoza,"Jason Momoa, Isabela Merced, Manuel Garcia-Rulfo, Amy Brenneman, Adria Arjona, Raza Jaffrey, Justin Bartha, Lex Scott Davis, Michael Raymond-James",United States,"August 20, 2021",R,110 min,"Action & Adventure, Dramas"
4696,tm858000,Rurouni Kenshin: The Final,MOVIE,"In 1879, Kenshin and his allies face their strongest enemy yet: his former brother-in-law Enishi Yukishiro and his minions, who've vowed their revenge.",2021,PG-13,138,tt11809034,7.2,8367.0,rurouni kenshin: the final,2021.0,Keishi Otomo,"Takeru Sato, Emi Takei, Mackenyu, Munetaka Aoki, Yu Aoi, Yusuke Iseya, Tao Tsuchiya, Kazuki Kitamura, Kasumi Arimura, Yosuke Eguchi",,"June 18, 2021",TV-14,137 min,"Action & Adventure, International Movies"
4702,ts282133,City of Ghosts,SHOW,"Meet the Ghost Club! Their adventures take them all around Los Angeles as they interview ghosts, solve problems and learn about their city's history.",2021,TV-Y7,19,tt15477516,6.1,10.0,city of ghosts,2021.0,,"August Nuñez, Blue Chapman, Kirikou S'hai Muldrow, Michael Ren, Angel Chipagua, Honor Calderon",United States,"March 5, 2021",TV-Y7,1 Season,Kids' TV
4703,ts273100,DOTA: Dragon's Blood,SHOW,"After encounters with a dragon and a princess on her own mission, a Dragon Knight becomes embroiled in events larger than he could have ever imagined.",2021,TV-MA,26,tt14069590,7.8,17429.0,dota: dragon's blood,2021.0,,"Yuri Lowenthal, Lara Pulver, Kari Wahlgren, Alix Wilton Regan, Troy Baker, Freya Tingley, Tony Todd",United States,"March 25, 2021",TV-MA,1 Season,Anime Series
4709,tm673809,Schumacher,MOVIE,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.",2021,,112,tt10322274,7.4,21558.0,schumacher,2021.0,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",Michael Schumacher,,"September 15, 2021",TV-14,113 min,"Documentaries, International Movies, Sports Movies"
4710,tm434625,Wish Dragon,MOVIE,Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.,2021,PG,99,tt5562070,7.2,24712.0,wish dragon,2021.0,Chris Appelhans,"Jimmy Wong, John Cho, Constance Wu, Will Yun Lee, Bobby Lee, Jimmy O. Yang, Ian Chen","China, United States, Canada","June 11, 2021",PG,102 min,"Children & Family Movies, Comedies"
4713,tm1045741,Blue Miracle,MOVIE,"To save their cash-strapped orphanage, a guardian and his kids partner with a washed-up boat captain for a chance to win a lucrative fishing competition.",2021,,95,tt7084386,6.6,6432.0,blue miracle,2021.0,Julio Quintana,"Jimmy Gonzales, Dennis Quaid, Anthony Gonzalez, Bruce McGill, Raymond Cruz, Nathan Arenas, Miguel Angel Garcia, Isaac Arellanes, Steve Gutierrez, Dana Wheeler-Nicholson, Fernanda Urrejola, Silverio Palacios",United States,"May 27, 2021",TV-PG,97 min,"Children & Family Movies, Dramas, Faith & Spirituality"
4714,ts255486,Godzilla Singular Point,SHOW,"Brought together by a mysterious song, a grad student and an engineer lead the fight against an unimaginable force that may spell doom for the world.",2021,TV-14,24,tt13229964,6.5,1612.0,godzilla singular point,2021.0,,"Yume Miyamoto, Shoya Ishige, Misaki Kuno, Rie Kugimiya, Taro Kiuchi, Wataru Takagi, Ayako Takeuchi, Yohei Azakami, Jin Urayama, Kotori Koiwai, Kenichi Suzumura, Natsuho Koda, Hiromichi Tezuka, Ryotaro Okiayu, Runa Onodera, Kenta Miyake, Masako Isobe, Tomoyuki Shimura",,"June 24, 2021",TV-14,1 Season,"Anime Series, International TV Shows"
4717,ts299874,Cocaine Cowboys: The Kings of Miami,SHOW,Two childhood friends go from high school dropouts to the most powerful drug kingpins in Miami in this true story of a crime sage that spanned decades.,2021,TV-MA,53,tt15049206,7.1,2624.0,cocaine cowboys: the kings of miami,2021.0,Billy Corben,,United States,"August 4, 2021",TV-MA,1 Season,"Crime TV Shows, Docuseries"
4719,tm1038369,Good on Paper,MOVIE,"After years of putting her career ahead of love, stand-up comic Andrea Singer has stumbled upon the perfect guy. On paper, he checks all the boxes but is he everything he appears to be?",2021,R,92,tt8231668,5.6,11401.0,good on paper,2021.0,Kimmy Gatewood,"Iliza Shlesinger, Ryan Hansen, Margaret Cho, Rebecca Rittenhouse, Matt McGorry, Tyler Cameron, Taylor Hill, Kimia Behpoornia, Rebecca Delgado Smith, Beth Dover",,"June 23, 2021",TV-MA,94 min,"Comedies, Romantic Movies"
4722,ts287722,The Upshaws,SHOW,"Bennie Upshaw, the head of a Black working class family in Indianapolis, is a charming, well-intentioned mechanic and lifelong mess just trying his best to step up and care for his family and tolerate his sardonic sister-in-law, all without a blueprint for success.",2021,TV-14,30,tt10945036,6.8,2296.0,the upshaws,2021.0,,"Mike Epps, Wanda Sykes, Kim Fields, Page Kennedy, Diamond Lyons, Khali Daniya-Renee Spraggins, Jermelle Simon, Gabrielle Dennis, Journey Christine",United States,"May 12, 2021",TV-14,1 Season,TV Comedies
4725,ts270798,Love (ft. Marriage and Divorce),SHOW,"Everything comes unraveling for three successful women who work on a radio show as twists, turns and troubles plague their seemingly happy marriages.",2021,TV-PG,69,tt13814840,6.6,433.0,love (ft. marriage and divorce),2021.0,,"Sung Hoon, Lee Tae-gon, Park Joo-mi, Lee Ga-ryoung, Lee Min-young, Jeon No-min, Jeon Soo-kyeong, Lim Hye-young, Song Ji-in, Moon Sung-ho, Roh Joo-hyun, Kim Ameliia, Kim Eung-soo, Lee Jong-nam, Lee Hyo-chun, Jun Hye-won, Lim Han-bin, Park Seo-kyung, Shin Su-ho, Yun Seo-hyun",South Korea,"June 12, 2021",TV-14,2 Seasons,"International TV Shows, TV Dramas"
4729,ts288005,"Nevertheless,",SHOW,The intoxicating charm of a flirtatious art school classmate pulls a reluctant love cynic into a friends-with-benefits relationship.,2021,,69,tt14518284,7.2,4485.0,"nevertheless,",2021.0,,"Song Kang, Han So-hee, Chae Jong-hyeop, Lee Yul-eum, Yang Hye-ji",,"June 20, 2021",TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
4731,tm1003261,Nate Bargatze: The Greatest Average American,MOVIE,"Tennessee-born comedian, actor, and podcast host Nate Bargatze is back with his second hour-long Netflix original comedy special, Nate Bargatze: The Greatest Average American. Nate reflects on being part of the Oregon Trail generation, meeting his wife while working at Applebee's and the hilariously relatable moments of being a father and husband.",2021,,60,tt14078164,7.3,1295.0,nate bargatze: the greatest average american,2021.0,Troy Miller,Nate Bargatze,United States,"March 18, 2021",TV-G,60 min,Stand-Up Comedy
4732,ts246178,Eden,SHOW,"Thousands of years in the future, a city known as ""Eden 3"" is inhabited solely by robots whose former masters vanished a long time ago. On a routine assignment, two farming robots accidentally awaken a human baby girl from stasis questioning all they were taught to believe -- that humans were nothing more than a forbidden ancient myth. Together, the two robots secretly raise the child in a safe haven outside Eden.",2021,TV-PG,25,tt10545250,6.6,1111.0,eden,2021.0,,"Marika Kono, Kentaro Ito, Kyoko Hikami, Tarusuke Shingaki, Koichi Yamadera, Yuuki Kuwahara, Yuhko Kaida, Ruby Rose Turner, David Tennant, Rosario Dawson, JP Karliak, Neil Patrick Harris, Cassandra Lee Morris, Julie Nathanson",,"May 27, 2021",TV-PG,1 Season,"Anime Series, International TV Shows"
4734,ts246073,Tribes of Europa,SHOW,"2074. In the wake of a mysterious global disaster, war rages between the Tribes that have emerged from the wreckage of Europe. Three siblings from the peaceful Origine tribe are separated and forced to forge their own paths in an action-packed fight for the future of this new Europa.",2021,TV-MA,47,tt9184982,6.7,11794.0,tribes of europa,2021.0,,"Henriette Confurius, Emilio Sakraya, David Ali Rashed, Oliver Masucci, Melika Foroutan, Ana Ularu, Robert Finster",Germany,"February 19, 2021",TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas"
4736,ts192196,Q-Force,SHOW,A handsome secret agent and his team of LGBTQ superspies embark on extraordinary adventures.,2021,TV-MA,23,tt10140028,6.4,4963.0,q-force,2021.0,,"Sean Hayes, Wanda Sykes, Laurie Metcalf, David Harbour, Gary Cole, Patti Harrison, Matt Rogers",United States,"September 2, 2021",TV-MA,1 Season,"Crime TV Shows, TV Action & Adventure, TV Comedies"
4737,tm860261,To All the Boys: Always and Forever,MOVIE,Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers her college plans â€” with and without Peter.,2021,PG-13,115,tt10676012,6.3,24232.0,to all the boys: always and forever,2021.0,Michael Fimognari,"Lana Condor, Noah Centineo, Janel Parrish, Anna Cathcart, Ross Butler, Madeleine Arthur, Emilija Baranac, Trezzo Mahoro, Sarayu Blue, John Corbett, Kelcey Mawema, Sofia Black-D'Elia, Henry Thomas",United States,"February 12, 2021",TV-14,116 min,"Comedies, Romantic Movies"
4739,ts216407,Age of Samurai: Battle for Japan,SHOW,An exploration of the warring kingdoms of feudal Japan when several powerful warlords fought to become absolute ruler.,2021,TV-MA,43,tt10551256,7.4,4022.0,age of samurai: battle for japan,2021.0,,"Masayoshi Haneda, Masami Kosaka, Hideaki Ito, Hayate, Wilfred Lee, Philippe Koo",United States,"February 24, 2021",TV-MA,1 Season,"Docuseries, International TV Shows"
4740,tm1028298,He's All That,MOVIE,"To get revenge on her ex-boyfriend, an influencer attempts to transform an unpopular classmate into prom king.",2021,R,91,tt4590256,4.3,23474.0,he's all that,2021.0,Mark Waters,"Addison Rae, Tanner Buchanan, Rachael Leigh Cook, Madison Pettis, Isabella Crovetti, Matthew Lillard, Peyton Meyer, Annie Jacob, Myra Molloy, Kourtney Kardashian",,"August 27, 2021",TV-14,92 min,"Comedies, Romantic Movies"
4741,ts271025,Bling Empire,SHOW,"Follow LA's wildly wealthy Asian and Asian American fun seekers as they go all out with fabulous parties, glamour and drama in this reality series.",2021,TV-MA,39,tt13660962,5.8,2608.0,bling empire,2021.0,,,United States,"January 15, 2021",TV-MA,1 Season,Reality TV
4742,tm983668,Misha and the Wolves,MOVIE,"A womanâ€™s Holocaust memoir takes the world by storm, but a fallout with her publisher-turned-detective reveals her story as an audacious deception created to hide a darker truth.",2021,PG-13,90,tt13648220,6.7,2303.0,misha and the wolves,2021.0,Sam Hobkinson,,"Belgium, United Kingdom","August 11, 2021",PG-13,90 min,"Documentaries, International Movies"
4743,ts29800,Surviving Death,SHOW,"What happens after we die? This docuseries explores personal stories and research on near-death experiences, reincarnation and paranormal phenomena.",2021,TV-MA,54,tt13649692,6.1,1991.0,surviving death,2021.0,,,United States,"January 6, 2021",TV-MA,1 Season,"Docuseries, Reality TV"
4748,tm1082314,Untold: Malice at the Palace,MOVIE,"Key figures from an infamous November 19th 2004 incident between players and fans at an NBA game in Michigan discuss the fight, its fallout and its lasting legacy.",2021,R,69,tt15085802,7.5,7532.0,untold: malice at the palace,2021.0,Floyd Russ,,United States,"August 10, 2021",TV-MA,70 min,"Documentaries, Sports Movies"
4751,ts271321,Beyond Evil,SHOW,"A serial murder case takes place in the small, peaceful city. The case is the same serial murder case that took place 20 years ago and changed Lee Dong-sikâ€™s life. The two detectives work to catch the killer.",2021,TV-MA,66,tt13634872,8.1,2776.0,beyond evil,2021.0,,"Shin Ha-kyun, Yeo Jin-goo, Choi Dae-hoon, Choi Sung-eun, Cheon Ho-jin, Choi Jin-ho",,"June 15, 2021",TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Thrillers"
4756,tm1093287,The River Runner,MOVIE,"Legendary kayaker Scott Lindgren attempts to complete an extreme, unprecedented whitewater expedition 20-years-in-the-making. When a brain tumor derails his goals, he sinks into the darkness of his own trauma only to discover that healing, like any expedition, is not a destination but a journey.",2021,,86,tt15293256,6.9,1572.0,the river runner,2021.0,Rush Sturges,,,"August 25, 2021",TV-MA,86 min,"Documentaries, Sports Movies"
4759,tm1087932,Prey,MOVIE,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,2021,,87,tt15198608,4.3,7084.0,prey,2021.0,Thomas Sieben,"David Kross, Hanno Koffler, Maria Ehrich, Robert Finster, Yung Ngo, Klaus Steinbacher, Livia Matthes, Nellie Thalbach",,"September 10, 2021",TV-MA,87 min,"International Movies, Thrillers"
4760,ts220196,Centaurworld,SHOW,"Centaurworld follows a war horse who is transported from her embattled world to a strange land inhabited by silly, singing centaurs of all species, shapes, and sizes. Desperate to return home, she befriends a group of these magical creatures and embarks on a journey that will test her more than any battle she's ever faced before.",2021,TV-Y7,29,tt10919290,7.6,1939.0,centaurworld,2021.0,,"Kimiko Glenn, Megan Hilty, Parvesh Cheena, Chris Diamantopoulos, Megan Nicole Dong, Jessie Mueller, Josh Radnor",,"July 30, 2021",TV-Y7,1 Season,"Kids' TV, TV Comedies"
4762,tm1074764,Shiny_Flakes: The Teenage Drug Lord,MOVIE,"Max S. reveals how he built a drug empire from his childhood bedroom as a teen in the real story behind the series ""How to Sell Drugs Online (Fast).""",2021,,96,tt15036416,7.3,4529.0,shiny_flakes: the teenage drug lord,2021.0,"Eva Müller, Michael Schmitt",Maximilian Schmidt,,"August 3, 2021",TV-MA,97 min,"Documentaries, International Movies"
4763,ts240807,Power Rangers Dino Fury,SHOW,"When an army of powerful alien beings is unleashed on Earth threatening life as we know it, a brand-new team of Power Rangers, fueled by the prehistoric power of the dinosaurs, are recruited to deal with the threat.",2021,TV-Y7,21,tt12360292,7.0,479.0,power rangers dino fury,2021.0,,"Russell Curry, Hunter Deno, Kai Moya, Tessa Rao, Chance Perez, Shavaughn Ruakere, Blair Strang",United States,"June 15, 2021",TV-G,1 Season,Kids' TV
4766,ts301999,Open Your Eyes,SHOW,"After a tragic accident, an amnesiac teen tries to rebuild her life at a memory disorders center but becomes suspicious of her unconventional treatment.",2021,TV-MA,47,tt13495314,6.5,1413.0,open your eyes,2021.0,,"Maria Wawreniuk, Ignacy Liss, Michał Sikorski, Wojciech Dolatowski, Klaudia Koścista, Zuzanna Galewicz, Marta Nieradkiewicz, Sara Celler Jezierska, Pola Król, Marcin Czarnik, Martyna Nowakowska",,"August 25, 2021",TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries"
4769,tm888243,Pray Away,MOVIE,"In the 1970s, five men struggling with being gay in their Evangelical church started a bible study to help each other leave the ""homosexual lifestyle."" They quickly received over 25,000 letters from people asking for help and formalized as Exodus International, the largest and most controversial conversion therapy organization in the world. But leaders struggled with a secret: their own â€œsame-sex attractionsâ€ never went away. After years as Christian superstars in the religious right, many of these men and women have come out as LGBTQ, disavowing the very movement they helped start. Focusing on the dramatic journeys of former conversion therapy leaders, current members, and a survivor, PRAY AWAY chronicles the â€œex gay"" movementâ€™s rise to power, persistent influence, and the profound harm it causes.",2021,PG-13,101,tt11224358,6.5,2714.0,pray away,2021.0,Kristine Stolakis,,United States,"August 3, 2021",PG-13,102 min,"Documentaries, LGBTQ Movies"
4770,ts283610,Feels Like Ishq,SHOW,Short films follow young adults as they navigate the gamut of emotions that come with finding romantic connection in unexpected places.,2021,TV-MA,42,tt14163838,6.4,1514.0,feels like ishq,2021.0,,"Radhika Madan, Amol Parashar, Rohit Saraf, Kajol Chugh, Tanya Maniktala, Mihir Ahuja, Simran Jehani, Sanjeeta Bhattacharya, Saba Azaad, Skand Thakur, Zayn Marie Khan, Neeraj Madhav",,"July 23, 2021",TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
4772,ts306510,Octonauts: Above & Beyond,SHOW,"The Octonauts expand their exploration beyond the sea -- and onto land! With new rides and new friends, they'll protect any habitats and animals at risk.",2021,TV-Y,25,tt15211330,7.4,66.0,octonauts: above & beyond,2021.0,,"Antonio Aakeel, Chipo Chung, Simon Foster, Teresa Gallagher, Simon Greenall, Kate Harbour, Paul Panting, Rob Rackstraw, William Vanderpuye, Helen Walsh, Keith Wickham, Andres Williams, Jo Wyatt",United Kingdom,"September 7, 2021",TV-Y,1 Season,"British TV Shows, Kids' TV"
4773,ts271517,The Crew,SHOW,"When the owner of the fictional NASCAR Bobby Spencer Racing team steps down and passes the team off to his daughter Catherine, the crew chief has to protect himself and his crew from her attempts to  modernize.",2021,TV-14,29,tt10971022,6.5,5396.0,the crew,2021.0,,"Kevin James, Sarah Stiles, Jillian Mueller, Freddie Stroma, Gary Anthony Williams, Dan Ahdoot",United States,"February 15, 2021",TV-14,1 Season,TV Comedies
4777,tm1087956,Afterlife of the Party,MOVIE,A social butterfly who dies during her birthday week is given a second chance to right her wrongs on Earth.,2021,,109,tt11742798,5.7,8223.0,afterlife of the party,2021.0,Stephen Herek,"Victoria Justice, Midori Francis, Robyn Scott, Adam Garcia, Timothy Renouf, Gloria Garcia, Myfanwy Waring, Spencer Sutherland",,"September 2, 2021",TV-PG,110 min,"Comedies, Romantic Movies"
4779,ts302714,The Kingdom,SHOW,"After his running mate's murder, a controversial televangelist becomes Argentina's presidential candidate. But nothing about him is as holy as he seems.",2021,TV-MA,47,tt15068148,6.5,1319.0,the kingdom,2021.0,,"Chino Darín, Nancy Dupláa, Joaquín Furriel, Peter Lanzani, Mercedes Morán, Diego Peretti, Vera Spinetta, Nico García Hume, Victoria Almeida, Santiago Korovsky, Patricio Aramburu, Alfonso Tort, Diego Gentile, Néstor Guzzini, Daniel Kuzniecka",Argentina,"August 13, 2021",TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
4780,ts271593,Spycraft,SHOW,"The spy game is a serious business, and throughout history, the tools and technologies developed for it have mattered as much as the spies themselves.",2021,TV-MA,34,tt13789092,6.7,1976.0,spycraft,2021.0,,,United States,"January 20, 2021",TV-MA,1 Season,"Docuseries, Science & Nature TV"
4786,tm984204,The Seventh Day,MOVIE,"A renowned exorcist teams up with a rookie priest for his first day of training. As they plunge deeper into hell on earth, the lines between good and evil blur, and their own demons emerge.",2021,R,87,tt11263022,4.5,4248.0,the seventh day,2021.0,Justin P. Lange,"Guy Pearce, Vadhir Derbez, Stephen Lang, Brady Jenness, Chris Galust, Robin Bartlett, Heath Freeman, Keith David",United States,"June 24, 2021",R,87 min,Horror Movies
4787,ts301196,Top Secret UFO Projects: Declassified,SHOW,"Though claims of extraterrestrial encounters have long been dismissed, many believe the existence of UFOs is not just likely, but a certainty.",2021,TV-PG,43,tt14992232,5.5,1371.0,top secret ufo projects: declassified,2021.0,,,,"August 3, 2021",TV-PG,1 Season,Docuseries
4788,tm1020073,Thunder Force,MOVIE,"In a world where supervillains are commonplace, two estranged childhood best friends reunite after one devises a treatment that gives them powers to protect their city.",2021,PG-13,107,tt10121392,4.4,40788.0,thunder force,2021.0,Ben Falcone,"Melissa McCarthy, Octavia Spencer, Jason Bateman, Bobby Cannavale, Pom Klementieff, Melissa Leo, Taylor Mosby, Marcella Lowery, Melissa Ponzio",United States,"April 9, 2021",PG-13,107 min,"Action & Adventure, Comedies"
4792,ts223450,Move to Heaven,SHOW,"Finding life in all that's left behind, a trauma cleaner with Asperger's and his ex-con uncle deliver the untold stories of the departed to loved ones.",2021,TV-MA,52,tt11052470,8.6,5307.0,move to heaven,2021.0,,"Lee Je-hoon, Tang Jun-sang, Hong Seung-hee, Ji Jin-hee, Lim Won-hee, Choi Soo-young",South Korea,"May 14, 2021",TV-MA,1 Season,"International TV Shows, TV Dramas"
4793,ts255779,Gabby's Dollhouse,SHOW,This colorful series leads preschoolers room to room through a fantastical dollhouse of delightful mini-worlds and irresistible kitty characters.,2021,TV-Y,23,tt9165438,7.2,344.0,gabby's dollhouse,2021.0,,"Laila Lockhart Kraner, Tucker Chandler, Juliet Donenfeld, Maggi Lowe, Donovan Patton, Eduardo Franco, Tara Strong, Secunda Wood, Carla Tassara, Sainty Nelsen",United States,"August 10, 2021",TV-Y,2 Seasons,Kids' TV
4794,ts287045,Fatma,SHOW,"Reeling from tragedy, a nondescript house cleaner embarks on a murderous streak as she searches for her missing husband and reckons with old wounds.",2021,TV-MA,42,tt11961378,7.4,8185.0,fatma,2021.0,,"Burcu Biricik, Uğur Yücel, Mehmet Yılmaz Ak, Hazal Türesan, Gülçin Kültür Şahin, Olgun Toker, Çağdaş Onur Öztürk, Şehsuvar Aktaş, Deniz Şen Hamzaoğlu, Didem İnselel",Turkey,"April 27, 2021",TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers"
4797,tm983270,Outside the Wire,MOVIE,"In the near future, a drone pilot is sent into a deadly militarized zone and must work with an android officer to locate a doomsday device.",2021,R,116,tt10451914,5.4,41562.0,outside the wire,2021.0,Mikael Håfström,"Anthony Mackie, Damson Idris, Emily Beecham, Michael Kelly, Pilou Asbæk","Hungary, United States","January 15, 2021",R,116 min,Action & Adventure
4798,tm319224,The Loud House Movie,MOVIE,The Loud family travel to Scotland and discover they are descendants of Scottish royalty as they move into their giant ancestral castle.,2021,G,83,tt6714432,6.2,1893.0,the loud house movie,2021.0,Dave Needham,"Asher Bishop, David Tennant, Michelle Gomez, Jill Talley, Brian Stepanek, Catherine Taber, Liliana Mumy, Nika Futterman, Cristina Pucelli, Jessica DiCicco, Grey Griffin, Lara Jill Miller",,"August 20, 2021",TV-Y7,88 min,"Children & Family Movies, Comedies, Music & Musicals"
4800,ts283676,Last Chance U: Basketball,SHOW,Hit the hardwood in East Los Angeles as a coach with strong convictions leads young men who hope to fulfill major college potential.,2021,TV-MA,60,tt13087512,8.3,2429.0,last chance u: basketball,2021.0,,,,"March 10, 2021",TV-MA,1 Season,Docuseries
4801,ts272669,Waffles + Mochi,SHOW,Curious puppet pals Waffles and Mochi travel the world exploring the wonders of food and culture while learning how to cook with fresh ingredients.,2021,TV-Y,30,tt14035218,7.5,463.0,waffles + mochi,2021.0,,"Michelle Zamora, Russ Walko, Michelle Obama, Jonathan Kidder, Diona Elise Burnett, Taleia Gilliam, Lyric Lewis, Andy Hayward, Piotr Michael, George Konner",United States,"March 16, 2021",TV-Y,1 Season,Kids' TV
4802,ts268835,Sisyphus,SHOW,An unfathomable incident introduces a genius engineer to dangerous secrets of the world â€” and to a woman from the future who's come looking for him.,2021,,71,tt13715448,7.0,3688.0,sisyphus,2021.0,,"Cho Seung-woo, Park Shin-hye, Sung Dong-il, Tae In-ho, Chae Jong-hyeop, Jeong He-in, Kim Jong-tae, Choi Jung-woo, Go Yoon, Heo Joon-seok, Jeon Kook-hwan, Tae Won-seok",South Korea,"February 18, 2021",TV-14,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas"
4811,ts304058,Ganglands,SHOW,"Mehdi, a qualified robber, and Liana, an apprentice thief, get involved in a turf war between drug dealers, and have to collaborate in order to save their loved ones.",2021,TV-MA,46,tt13278100,7.0,2460.0,ganglands,2021.0,Julien Leclercq,"Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera",,"September 24, 2021",TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure"
