index,id,title,type,description,release_year,age_certification,runtime,imdb_id,imdb_score,imdb_votes,title_norm,join_year,director,cast,country,date_added,rating,duration,listed_in
932,tm178211,Life of Crime,MOVIE,Two common criminals get more than they bargained for after kidnapping the wife of a corrupt real-estate developer who shows no interest in paying the $1 million dollar ransom for her safe return.,2013,R,94,tt1663207,5.8,18793.0,life of crime,2013.0,Daniel Schechter,"Jennifer Aniston, Mos Def, Isla Fisher, Will Forte, Mark Boone Junior, Tim Robbins, John Hawkes, Clea Lewis, Charlie Tahan, Kevin Corrigan",United States,"June 15, 2021",R,101 min,"Comedies, Independent Movies"
933,tm144121,Get on Up,MOVIE,A chronicle of James Brown's rise from extreme poverty to become one of the most influential musicians in history.,2014,PG-13,139,tt2473602,6.9,24456.0,get on up,2014.0,Tate Taylor,"Chadwick Boseman, Nelsan Ellis, Dan Aykroyd, Viola Davis, Lennie James, Fred Melamed, Craig Robinson, Jill Scott, Octavia Spencer, Jacinte Blankenship","United Kingdom, United States","March 16, 2021",PG-13,139 min,"Dramas, Music & Musicals"
935,tm151447,The November Man,MOVIE,An ex-CIA operative is brought back in on a very personal mission and finds himself pitted against his former pupil in a deadly game involving high level CIA officials and the Russian president-elect.,2014,R,108,tt2402157,6.3,67243.0,the november man,2014.0,Roger Donaldson,"Pierce Brosnan, Luke Bracey, Olga Kurylenko, Eliza Taylor, Caterina Scorsone, Bill Smitrovich, Will Patton, Amila Terzimehic, Lazar Ristovski, Mediha Musliovic","United States, United Kingdom","August 25, 2021",R,108 min,Action & Adventure
937,tm154797,The Nut Job,MOVIE,"Surly, a curmudgeon, independent squirrel is banished from his park and forced to survive in the city. Lucky for him, he stumbles on the one thing that may be able to save his life, and the rest of park community, as they gear up for winter - Maury's Nut Store.",2014,PG,85,tt1821658,5.7,28295.0,the nut job,2014.0,Peter Lepeniotis,"Will Arnett, Brendan Fraser, Gabriel Iglesias, Jeff Dunham, Liam Neeson, Katherine Heigl, Stephen Lang, Maya Rudolph, Sarah Gadon, James Rankin","Canada, South Korea, United States","June 18, 2020",PG,85 min,"Children & Family Movies, Comedies"
939,tm159796,Brick Mansions,MOVIE,"In a dystopian Detroit, grand houses that once housed the wealthy are now homes of the city's most-dangerous criminals. Surrounding the area is a giant wall to keep the rest of Detroit safe. For undercover cop Damien Collier, every day is a battle against corruption as he struggles to bring his father's killer, Tremaine, to justice. Meanwhile, Damien and an ex-con named Lino work together to save the city from a plot to destroy it.",2014,PG-13,90,tt1430612,5.6,42137.0,brick mansions,2014.0,Camille Delamarre,"Paul Walker, David Belle, RZA, Gouchy Boy, Catalina Denis, Ayisha Issa, Carlo Rota, Andreas Apergis, Richard Zeman, Robert Maillet","France, Canada, United States, Spain","July 7, 2021",PG-13,90 min,"Action & Adventure, International Movies"
943,tm148976,The Battered Bastards of Baseball,MOVIE,Hollywood veteran Bing Russell creates the only independent baseball team in the countryâ€”alarming the baseball establishment and sparking the meteoric rise of the 1970s Portland Mavericks.,2014,R,80,tt3445270,8.0,3953.0,the battered bastards of baseball,2014.0,"Chapman Way, Maclain Way","Todd Field, Kurt Russell",United States,"July 11, 2014",TV-MA,80 min,"Documentaries, Sports Movies"
944,tm143642,Who Am I,MOVIE,"Benjamin, a young German computer whiz, is invited to join a subversive hacker group that wants to be noticed on the world's stage.",2014,,105,tt4426376,7.5,55044.0,who am i,2014.0,Baran bo Odar,"Tom Schilling, Elyas M'Barek, Wotan Wilke Möhring, Antoine Monot Jr., Hannah Herzsprung, Stephan Kampwirth, Trine Dyrholm, Leopold Hornung, Leonard Carow",Germany,"February 26, 2021",TV-MA,102 min,"International Movies, Thrillers"
946,ts20709,Yowamushi Pedal,SHOW,"Sakamichi Onada is a wimpy high school freshman who loves anime. He initially wants to enter the anime club, but winds up joining the cycling club after meeting two classmates who are already famous cyclists. He undertakes the grueling training to compete in races, and discovers his own hidden talent in cycling.",2013,TV-14,24,tt2942228,7.7,808.0,yowamushi pedal,2013.0,,"Daiki Yamashita, Kohsuke Toriumi, Jun Fukushima, Hiroki Yasumoto, Showtaro Morikubo, Kentaro Ito, Daisuke Kishio, Yoshitsugu Matsuoka, Junichi Suwabe, Ayaka Suwa, Megumi Han, Tomoaki Maeno, Tsubasa Yonaga, Tetsuya Kakihara, Satoshi Hino, Hiroyuki Yoshino, Atsushi Abe, Koji Yusa, Kouki Miyata, Hiro Shimono, Wataru Hatano, Yuichi Nakamura, Kenji Nojima, Mamoru Miyano, Daisuke Ono, Yuma Uchida, Jun Fukuyama",Japan,"September 14, 2021",TV-14,1 Season,"Anime Series, International TV Shows"
948,tm162271,Bo Burnham: What.,MOVIE,"Left brain and right brain duke it out and then belt out a tune in comedian Bo Burnham's quick and clever one-man show. As intelligent as he is lanky, Burnham cynically pokes at pop entertainment while offering unadulterated showmanship of his own.",2013,,60,tt3210258,8.3,11488.0,bo burnham: what.,2013.0,"Bo Burnham, Christopher Storer",Bo Burnham,United States,"July 1, 2018",TV-MA,60 min,Stand-Up Comedy
949,tm166628,The Smurfs 2,MOVIE,"The evil wizard Gargamel creates a couple of mischievous Smurf-like creatures called the Naughties that he hopes will let him harness the all-powerful, magical Smurf-essence. But when he discovers that only a real Smurf can give him what he wants, and only a secret spell that Smurfette knows can turn the Naughties into real Smurfs, Gargamel kidnaps Smurfette and brings her to Paris, where he has been winning the adoration of millions as the worldÂ¹s greatest sorcerer. It's up to Papa, Clumsy, Grouchy, and Vanity to return to our world, reunite with their human friends Patrick and Grace Winslow, and rescue her! Will Smurfette, who has always felt different from the other Smurfs, find a new connection with the Naughties Vexy and Hackus or will the Smurfs convince her that their love for her is True Blue?",2013,PG,105,tt2017020,5.3,41571.0,the smurfs 2,2013.0,Raja Gosnell,"Neil Patrick Harris, Brendan Gleeson, Jayma Mays, Hank Azaria, Katy Perry, Christina Ricci, Jonathan Winters, J.B. Smoove, George Lopez, Anton Yelchin, Fred Armisen, Jacob Tremblay, Alan Cumming","United States, France, Canada, Belgium","September 15, 2020",PG,105 min,"Children & Family Movies, Comedies"
951,tm136601,Walk of Shame,MOVIE,"A reporter's dream of becoming a news anchor is compromised after a one-night stand leaves her stranded in downtown L.A. without a phone, car, ID or money - and only 8 hours to make it to the most important job interview of her life.",2014,R,95,tt2463288,6.0,54065.0,walk of shame,2014.0,Steve Brill,"Elizabeth Banks, James Marsden, Gillian Jacobs, Sarah Wright, Ethan Suplee, Bill Burr, Ken Davitian, Lawrence Gilliard Jr., Alphonso Mcauley, Da'Vone McDonald, John Marsden, Willie Garson, Oliver Hudson, P.J. Byrne",United States,"August 16, 2021",R,94 min,"Comedies, Independent Movies"
952,tm143757,Search Party,MOVIE,Two oafs must rescue their stranded pal in Mexico.,2014,R,93,tt2758904,5.6,7789.0,search party,2014.0,Scot Armstrong,"T.J. Miller, Adam Pally, Thomas Middleditch, Lance Reddick, Shannon Woodward, Alison Brie, Krysten Ritter, Jason Mantzoukas",United States,"March 16, 2020",R,93 min,Comedies
