index,id,title,type,description,release_year,age_certification,runtime,imdb_id,imdb_score,imdb_votes,title_norm,director,cast,country,date_added,rating,duration,listed_in
618,ts39604,The Hospital,SHOW,"When the President's only daughter, Liu Xinping, checks into a hospital for her chemotherapy treatment, the head of internal medicine and the head of surgery become core members of the President's medical team. Both men plan to use this opportunity to prove themselves as the best candidate for the position of hospital director. As a result, the two men appoint rival surgeons to attend to Xiuping's surgery.",2006,TV-14,48,tt2823414,7.4,40.0,the hospital,,,,,,,
623,tm130999,Dhoondte Reh Jaaoge,MOVIE,"Anand Pawar (Kunal Khemu) and Raj Chopra (Paresh Rawal) are perhaps the two most extreme individuals that have walked the city of Mumbai. While Anand is an idealist chartered accountant, Raj is an idle film producer.",2009,PG,135,tt1391544,5.6,812.0,dhoondte reh jaaoge,,,,,,,
626,ts23797,Black & White,SHOW,"Pi Zi and Ying Xiong are two cops who are as different as day and night. One lives a luxurious lifestyle and does nothing but drink coffee and wait for information from dubious sources to crack his cases. Another believes law and justice are the pillars of society and is constantly on the street catching criminals. When a case brings these two top crime solvers together, sparks fly and light begins to creep into the dark corners of Taipei.",2009,TV-14,37,tt1508870,7.6,302.0,black & white,,,,,,,
635,tm57586,Mission Istaanbul,MOVIE,A news reporter must uncover the secret on the 13th floor of a News Station.,2008,,125,tt1179781,3.4,1156.0,mission istaanbul,,,,,,,
641,tm91176,IjÃ©: The Journey,MOVIE,Anya's dream turned into a nightmare when she was accused of killing 3 men. For her to regain her freedom she had to share her secret with world. With help of her sister Chioma and an inexperienced attorney IjÃ© tells the story in a riveting way with an unexpected climatic ending. It's a story that conveys the fusion of the African culture with the American culture in a court room like no other.,2010,,106,tt1578582,7.0,108.0,ijã©: the journey,,,,,,,
642,ts4924,At Dolphin Bay,SHOW,"At Dolphin Bay is a Taiwanese drama that stars Angela Zhang, Ambrose Hsu, Wallace Huo, and Jill Hsu. The drama aired on 2003 in SETTV.",2003,TV-14,59,tt8612066,6.9,39.0,at dolphin bay,,,,,,,
643,tm88343,Perazhagan,MOVIE,A hunchbacked phone booth operator loves a blind street dancer and wants to help her regain her sight. His lookalike is a constable in love with the commissioner's daughter.,2004,,148,tt0422934,6.4,1496.0,perazhagan,,,,,,,
646,ts188031,Pink Zone,SHOW,"Is the story of four friends: Natalia, AngÃ©lica, Vicky and Sara. The four of them live together and try to live together despite having their differences. They all support Natalia's dream. Natalia is a 25-year-old young woman, recently graduated from her cooking studies, who dreams of setting up her own restaurant, and wants her friends to be her partners and that her best friend AndrÃ©s also be the administrator. However, despite her dreams, Natalia has had very bad luck in her relationships. Her last boyfriend Federico was cheating on her and leaves her to marry another woman. However, she does not suspect that her best friend AndrÃ©s is secretly in love with her and tries to win her over and change her perception of men.",2007,,15,tt11194518,6.1,47.0,pink zone,,,,,,,
647,tm481594,Bheem vs Aliens,MOVIE,"Aliens from a planet called Zeake attack Dholakpur. They destroy the palace and take King Indravarma and Princess Indumati captive. The aliens then proceed to Pehalwanpur. Kyto, the alien leader challenges Bheem to a game to release the king and his daughter.",2010,G,69,tt6442436,7.7,35.0,bheem vs aliens,,,,,,,
654,tm628693,"Do Paise Ki Dhoop, Chaar Aane Ki Baarish",MOVIE,"When a sex worker hires a gay songwriter to care for her disabled son, the ensuing bonds that form offer a complex portrayal of love and family.",2009,,121,tt1935782,6.5,203.0,"do paise ki dhoop, chaar aane ki baarish",,,,,,,
658,tm166064,"Crazy, Stupid, Love.",MOVIE,"Cal Weaver is living the American dream. He has a good job, a beautiful house, great children and a beautiful wife, named Emily. Cal's seemingly perfect life unravels, however, when he learns that Emily has been unfaithful and wants a divorce. Over 40 and suddenly single, Cal is adrift in the fickle world of dating. Enter, Jacob Palmer, a self-styled player who takes Cal under his wing and teaches him how to be a hit with the ladies.",2011,PG-13,118,tt1570728,7.4,507878.0,"crazy, stupid, love.",,,,,,,
661,tm170442,Margin Call,MOVIE,A thriller that revolves around the key people at an investment bank over a 24-hour period during the early stages of the financial crisis.,2011,R,107,tt1615147,7.1,125883.0,margin call,,,,,,,
664,tm50018,Looper,MOVIE,"In the futuristic action thriller Looper, time travel will be invented but it will be illegal and only available on the black market. When the mob wants to get rid of someone, they will send their target 30 years into the past where a looper, a hired gun, like Joe is waiting to mop up. Joe is getting rich and life is good until the day the mob decides to close the loop, sending back Joe's future self for assassination.",2012,R,119,tt1276104,7.4,566791.0,looper,,,,,,,
665,ts20660,Shameless,SHOW,"Chicagoan Frank Gallagher is the proud single dad of six smart, industrious, independent kids, who without him would be... perhaps better off. When Frank's not at the bar spending what little money they have, he's passed out on the floor. But the kids have found ways to grow up in spite of him. They may not be like any family you know, but they make no apologies for being exactly who they are.",2011,TV-MA,54,tt1586680,8.6,230243.0,shameless,,,,,,,
667,tm60292,Argo,MOVIE,"As the Iranian revolution reaches a boiling point, a CIA 'exfiltration' specialist concocts a risky plan to free six Americans who have found shelter at the home of the Canadian ambassador.",2012,R,120,tt1024648,7.7,600392.0,argo,,,,,,,
669,tm164877,Midnight in Paris,MOVIE,A romantic comedy about a family traveling to the French capital for business. The party includes a young engaged couple forced to confront the illusion that a life different from their own is better.,2011,PG-13,94,tt1605783,7.7,413541.0,midnight in paris,,,,,,,
673,ts32835,Hunter x Hunter,SHOW,"Twelve-year-old Gon Freecss one day discovers that the father he had always been told was dead was alive. His Father, Ging, is a Hunter â€” a member of society's elite with a license to go anywhere or do almost anything. Gon, determined to follow in his father's footsteps, decides to take the Hunter Examination and eventually find his father to prove himself as a Hunter in his own right. But on the way, he learns that there is more to becoming a Hunter than previously thought, and the challenges that he must face are considered the toughest in the world.",2011,TV-14,23,tt2098220,9.0,87857.0,hunter x hunter,,,,,,,
674,tm32982,Les MisÃ©rables,MOVIE,"An adaptation of the successful stage musical based on Victor Hugo's classic novel set in 19th-century France, in which a paroled prisoner named Jean Valjean seeks redemption.",2012,PG-13,157,tt1707386,7.5,325132.0,les misã©rables,,,,,,,
677,tm158304,Contagion,MOVIE,"As an epidemic of a lethal airborne virus - that kills within days - rapidly grows, the worldwide medical community races to find a cure and control the panic that spreads faster than the virus itself.",2011,PG-13,106,tt1598778,6.8,300074.0,contagion,,,,,,,
678,tm72140,Battleship,MOVIE,"When mankind beams a radio signal into space, a reply comes from â€˜Planet Gâ€™, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential that his brother, and his fiancÃ©e's fatherâ€”an Admiralâ€”expect of him.",2012,PG-13,131,tt1440129,5.8,246008.0,battleship,,,,,,,
680,tm160433,Just Go with It,MOVIE,"A plastic surgeon, romancing a much younger schoolteacher, enlists his loyal assistant to pretend to be his soon to be ex-wife, in order to cover up a careless lie. When more lies backfire, the assistant's kids become involved, and everyone heads off for a weekend in Hawaii that will change all their lives.",2011,PG-13,117,tt1564367,6.4,239367.0,just go with it,,,,,,,
681,tm39896,Dark Shadows,MOVIE,Vampire Barnabas Collins is inadvertently freed from his tomb and emerges into the very changed world of 1972. He returns to Collinwood Manor to find that his once-grand estate and family have fallen into ruin.,2012,PG-13,113,tt1077368,6.2,262998.0,dark shadows,,,,,,,
682,tm178201,Sherlock Holmes: A Game of Shadows,MOVIE,"There is a new criminal mastermind at large (Professor Moriarty) and not only is he Holmesâ€™ intellectual equal, but his capacity for evil and lack of conscience may give him an advantage over the  detective.",2011,PG-13,129,tt1515091,7.4,446531.0,sherlock holmes: a game of shadows,,,,,,,
686,tm176356,Sucker Punch,MOVIE,"A young girl is institutionalized by her abusive stepfather. Retreating to an alternative reality as a coping strategy, she envisions a plan which will help her escape from the mental facility.",2011,PG-13,110,tt0978764,6.0,241111.0,sucker punch,,,,,,,
688,ts20458,Ninjago: Masters of Spinjitzu,SHOW,"When the fate of their world, Ninjago, is challenged by great threats, it's up to the ninja: Kai, Jay, Cole, Zane, Lloyd and Nya to save the world.",2012,TV-Y7,17,tt1871731,7.2,4519.0,ninjago: masters of spinjitzu,,,,,,,
691,tm68272,Project X,MOVIE,"Three high school seniors throw a party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",2012,R,88,tt1636826,6.6,204959.0,project x,,,,,,,
695,tm172716,Final Destination 5,MOVIE,"In this fifth installment, Death is just as omnipresent as ever, and is unleashed after one manâ€™s premonition saves a group of coworkers from a terrifying suspension bridge collapse. But this group of unsuspecting souls was never supposed to survive, and, in a terrifying race against time, the ill-fated group frantically tries to discover a way to escape Deathâ€™s sinister agenda.",2011,R,92,tt1622979,5.9,114505.0,final destination 5,,,,,,,
699,tm173624,Hall Pass,MOVIE,"When best buds Rick and Fred begin to show signs of restlessness at home, their wives take a bold approach to revitalize their marriages, they grant the guys a 'hall pass'â€”one week of freedom to do whatever they want. At first, it seems like a dream come true, but they quickly discover that their expectations of the single lifeâ€”and themselvesâ€”are completely and hilariously out of sync with reality.",2011,R,105,tt0480687,5.9,125098.0,hall pass,,,,,,,
702,tm62210,Rurouni Kenshin Part I: Origins,MOVIE,"Former legendary assassin Kenshin Himura has now become a wandering samurai. Offering aid & protecting those in need as atonement for his past deeds. During this time Kenshin Himura comes across and aides Kaoru Kamiya (Emi Takei). Her father opened the Kamiya Kasshin-ryu, a kendo school located in Tokyo and Kaoru is now an instructor there. Kaoru then invites Kenshin to stay at her dojo. Their relationship develops further, but Kenshin is still haunted by his violent past...",2012,PG-13,134,tt1979319,7.4,25793.0,rurouni kenshin part i: origins,,,,,,,
706,tm173195,The Rite,MOVIE,"Seminary student Michael Kovak reluctantly attends exorcism school at the Vatican. While heâ€™s in Rome, Michael meets an unorthodox priest who introduces him to the darker side of his faith, uncovering the devilâ€™s reach even to one of the holiest places on Earth.",2011,PG-13,114,tt1161864,6.0,96915.0,the rite,,,,,,,
708,ts19779,Barbie: Life in the Dreamhouse,SHOW,"The series is set as a reality TV-esque show following Barbie, her sisters and her friends in the day-to-day activities that take place in the Dreamhouse and surrounding areas. Much of the humor in the show derives from parodying and lampooning both the traditional reality TV format and the Barbie franchise itself.",2012,TV-Y,6,tt2644032,7.3,1806.0,barbie: life in the dreamhouse,,,,,,,
710,tm160371,A Very Harold & Kumar Christmas,MOVIE,"Six years have elapsed since Guantanamo Bay, leaving Harold and Kumar estranged from one another with very different families, friends and lives. But when Kumar arrives on Harold's doorstep during the holiday season with a mysterious package in hand, he inadvertently burns down Harold's father-in-law's beloved Christmas tree. To fix the problem, Harold and Kumar embark on a mission through New York City to find the perfect Christmas tree, once again stumbling into trouble at every single turn.",2011,R,108,tt1268799,6.2,69241.0,a very harold & kumar christmas,,,,,,,
712,ts27586,Magi,SHOW,"This story is about the flow of fate and the battle to keep the world on the right path. Aladdin is a boy who has set out to explore the world after being trapped in a room for most of his life. His best friend is a flute with a djinn in it named Ugo. Soon enough, Aladdin discovers he is a Magi, a magician who chooses kings, and he was born to choose kings who will follow the righteous path, battling against those who want to destroy fate. Follow his adventures as he meets others from 1001 Arabian Nights, like Ali Baba and Sinbad, and fights to keep the balance of world in check!",2012,TV-14,24,tt2425098,7.8,3899.0,magi,,,,,,,
714,ts76614,Thermae Romae,SHOW,"The story is a comedy about Lucius, an architect of public bath houses in ancient Rome, who time-travels to various modern-day baths in Japan. The author explores the two cultures in the world ""that have loved baths the most: the Japanese and the Romans.""",2012,,27,tt2230761,6.1,108.0,thermae romae,,,,,,,
